ghn_ward_id,ma_xa,ten_xa,ghn_district_id,ten_huyen,ghn_province_id,ten_tinh,region,buu_cuc_ma,buu_cuc_ten,am_name,am_phone,nhan_vien,sl_lay,sl_giao
340912,20977,Xã Tam Sơn,1987,Huyện Núi Thành,243,Quảng Nam,TTB,21676000,Bưu Cục Nguyễn Chí Thanh-Núi Thành-Quảng Nam,,,,,
70603,03643,Xã Khoen On,2025,Huyện Than Uyên,264,Lai Châu,TBB,21448000,Bưu Cục Số 028 Thanh Niên-Than Uyên-Lai Châu,,,,,
270718,14674,Xã Lai Thành,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
270724,14680,Xã Văn Hải,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
30308,11362,Phường Lạch Tray,1587,Quận Ngô Quyền,224,Hải Phòng,XBG,20061000,Bưu cục Tổ 12-Kênh Dương-Lê Chân-Hải Phòng,,,,,
171307,,Xã Hạ Long,1920,Huyện đảo Vân Đồn,230,Quảng Ninh,XBG,1892,Bưu Cục Đảo Vân Đồn-Quảng Ninh,,,,,
340911,20998,Xã Tam Quang,1987,Huyện Núi Thành,243,Quảng Nam,TTB,21676000,Bưu Cục Nguyễn Chí Thanh-Núi Thành-Quảng Nam,,,,,
70607,03619,Xã Mường Than,2025,Huyện Than Uyên,264,Lai Châu,TBB,21448000,Bưu Cục Số 028 Thanh Niên-Than Uyên-Lai Châu,,,,,
170803,,Xã Đại Thành,2019,Huyện Tiên Yên,230,Quảng Ninh,XBG,21401000,Bưu Cục 76 Thác Bưởi-Tiên Lãng-Tiên Yên-Quảng Ninh,,,,,
30305,11365,Phường Đổng Quốc Bình,1587,Quận Ngô Quyền,224,Hải Phòng,XBG,20061000,Bưu cục Tổ 12-Kênh Dương-Lê Chân-Hải Phòng,,,,,
340913,20980,Xã Tam Thạnh,1987,Huyện Núi Thành,243,Quảng Nam,TTB,21676000,Bưu Cục Nguyễn Chí Thanh-Núi Thành-Quảng Nam,,,,,
120902,05857,Phường Bắc Sơn,1990,Thị xã Phổ Yên,244,Thái Nguyên,DBB,21697000,Bưu Cục Đường 261-Bắc Sơn-Phổ Yên-Thái Nguyên,,,,,
270720,14650,Xã Như Hòa,3205,Huyện Kim Sơn,233,Ninh Bình,TNT,20677000,Bưu Cục Lạc Thiện-Quang Sơn-Ninh Bình,,,,,
