warehouse_id,warehouse_name,warehouse_address,warehouse_category,latitude,longitude,area_manager_name,ward_name,district_name,province_name,region,area
22848000,Bưu Cục 86 Nguyễn Thị Minh Khai-Xã Mèo Vạc-Hà Giang,"Số 86 đường Nguyễn Thị Minh Khai, Tổ 2, thị trấn Mèo Vạc, huyện Mèo Vạc, tỉnh Hà Giang",buu_cuc,23.162226,105.406025,Tạ Thế Duy,Thị trấn Mèo Vạc,Huyện Mèo Vạc,Hà Giang,DBB,Bắc
22854000,Bưu Cục Phùng Hưng-Hà Giang 2-Hà Giang,Tổ 17 Đường Phùng Hưng - Phường Trần Phú - Tp Hà Giang,buu_cuc,22.843663,104.983611,Tạ Thế Duy,Phường Trần Phú,Thành phố Hà Giang,Hà Giang,DBB,Bắc
22463000,Bưu Cục Tổ 2 Quốc Lộ 4C-Xã Quản Bạ-Hà Giang,Tổ 2 Quốc Lộ 4C Thị trấn Tam Sơn-Quản Bạ-Hà Giang,buu_cuc,23.063761,105.00729,Phạm Tiến Bình,Thị trấn Tam Sơn,Huyện Quản Bạ,Hà Giang,DBB,Bắc
22282000,Bưu Cục Số Nhà 882 Tổ 6-Việt Quang-Bắc Quang-Hà Giang,"Số nhà 882 Tổ 6, Thị Trấn Việt Quang, huyện Bắc Quang, tỉnh Hà Giang",buu_cuc,22.404471,104.813235,Nguyễn Thị Hồng,Thị trấn Việt Quang,Huyện Bắc Quang,Hà Giang,DBB,Bắc
22856000,Bưu Cục K31 Thôn Nà Sài-Xã Minh Ngọc-Hà Giang,K31 Thôn Nà Sài - Minh Ngọc - Bắc Mê - Hà Giang,buu_cuc,22.773569,105.172592,Tạ Thế Duy,Xã Minh Ngọc,Huyện Bắc Mê,Hà Giang,DBB,Bắc
22852000,Bưu Cục Thôn Đoàn Kết QL4C-Xã Đồng Văn-Hà Giang,"Thôn Đoàn Kết, QL4C, thị trấn Đồng Văn, huyện Đồng Văn, tỉnh Hà Giang, vùng ĐBB",buu_cuc,23.277452,105.346982,Tạ Thế Duy,Thị trấn Đồng Văn,Huyện Đồng Văn,Hà Giang,DBB,Bắc
20365000,Bưu Cục 92 Đường 27-Quang Bình-Hà Giang,"Số 92 Đường 279, Thị trấn Yên Bình, Huyện Quang Bình, Tỉnh Hà Giang",buu_cuc,22.413448,104.579224,Nguyễn Thị Hồng,Thị trấn Yên Bình,Huyện Quang Bình,Hà Giang,DBB,Bắc
20872000,Bưu Cục Thị trấn Vị Xuyên-Hà Giang,"Thị Trấn Vị Xuyên, Huyện Vị Xuyên, Hà Giang",buu_cuc,22.66171,104.988513,Nguyễn Thị Hồng,Thị trấn Vị Xuyên,Huyện Vị Xuyên,Hà Giang,DBB,Bắc
21540000,Bưu Cục Phan Đình Phùng-Mèo Vạc-Hà Giang,"SN 22, Đường Phan Đình Phùng, Tổ 1, Thị Trấn Mèo Vạc, Tỉnh Hà Giang",buu_cuc,23.1627543,105.4112815,Phạm Tiến Bình,Thị trấn Mèo Vạc,Huyện Mèo Vạc,Hà Giang,DBB,Bắc
22847000,Bưu Cục Cầu Vĩnh Tuy-Xã Vĩnh Tuy-Hà Giang,Gần Cầu Vĩnh Tuy - QL2 Thị trấn Vĩnh Tuy - Bắc Quang - Hà Giang,buu_cuc,22.268196,104.893244,Nguyễn Thị Hồng,Thị trấn Vĩnh Tuy,Huyện Bắc Quang,Hà Giang,DBB,Bắc
